CLIENT_NAME,SELLING_HOURLY_PRICE,MIN_QUALITY,WILDCARD
Accesstra,25,7,Quality
AccuBank Industries,30,7,Deadline
AccuBuild Industries,35,7.5,Quality
AccuPulse,25,7.5,Deadline
Accura Systems,40,7.5,Price
AccuSense,25,7,Deadline
AccuTech,20,7,Quality
AccuVision,25,7,Quality
Acme Corporation,20,0,Deadline
AcmeTech,25,7,Quality
Acrylon,30,7,Quality
Acuity Automation Solutions,25,7.5,Deadline
AdeptTech,25,7,Deadline
AdMakers Industrial,20,8,Price
Advanced Manufacturing,25,0,Deadline
AdvancedEndo,25,7,Quality
AdvancedHealthTech,35,8,Quality
AdVantage Solutions,20,7.5,Price
Advantech Machinery,25,0,Deadline
AdWorks Manufacturing,25,7.5,Price
AeroAdventures,25,7,Deadline
AeroCargo Solutions,20,8,Price
AeroChem,25,8,Price
AeroComposites,20,0,Deadline
AeroDrill Industries,25,7,Quality
Aerodyne Tech,35,7,Quality
AeroFab,25,7.5,Price
AeroForge,25,0,Price
AeroForge Corporation,20,8,Quality
AeroFresh,20,7,Deadline
AeroGuard,35,0,Deadline
AeroHealth Systems,20,0,Deadline
AeroIndustries,25,7,Quality
AeroLand,20,7.5,Price
AeroLeisure,25,0,Price
AeroLink Logistics,20,8,Quality
AeroLogic,45,8,Quality
AeroLogix,20,7.5,Deadline
AeroMech Industries,25,7,Deadline
AeroMed,40,7,Price
AeroMed Industries,25,0,Price
AeroMedical Devices,30,0,Deadline
AeroMetrix Industries,25,7.5,Quality
AeroMotive Solutions,20,8,Quality
AeroNet,25,7,Quality
AeroPro,25,7,Deadline
AeroPulse Solutions,25,8,Price
Aerospace & Defense,30,0,Price
AeroSysTech,35,7,Deadline
AeroTech,20,0,Deadline
AeroTech Industrial Systems,35,0,Deadline
AeroTech Services,30,8,Quality
AeroWorks,20,8,Deadline
AeroWorks Industries,30,8,Quality
AetherPharm,25,7,Price
AetherWorks,30,0,Price
Aethos Dynamics,20,7.5,Deadline
Agile Industrial,20,0,Deadline
AgileMotive,30,7,Deadline
AgileTech,25,0,Deadline
Agricultural Machinery,25,7,Quality
Agrigenius,30,7,Quality
AgriPro,25,7.5,Deadline
Agri-Tech,30,7.5,Deadline
Agritech Solutions,35,7,Deadline
AgroChem Solutions,40,7,Deadline
AgroLogix,35,0,Price
AgroMech,25,7,Quality
Agro-Motion,25,0,Deadline
AgroMotive,25,7,Quality
Agronics,20,7.5,Deadline
Agronome,25,7,Price
Agroquip,25,7,Price
AgroTech Industries,20,7,Quality
AgroTechWorks,35,8,Deadline
AirBridge Services,35,0,Price
AirFlow Dynamics,30,0,Deadline
AirMasters,30,7,Price
AirPro,25,7.5,Price
